"guest_id","phone","full_name","home_address","reservation_status","reserved_room_id","passport"
34,"79749201856","Андреева Виктория Владимировна","Волгоград, Проспект Олимпийский, 55, кв. 26","rents",12,"3749201856"
22,"79302984716","Михайлова Анна Алексеевна","Владивосток, Бульвар Юности, 72, кв. 34","rents",16,"5302984716"
35,"79584637029","Белов Алексей Сергеевич","Тюмень, Улица Новая, 81, кв. 10","rents",7,"1584637029"
28,"79038961724","Лебедева Ольга Александровна","Ярославль, Проспект Советский, 210, кв. 18","reserves",15,"5038961724"
17,"79574129630","Иванов Игорь Александрович","Москва, Проспект Ленина, 123, кв. 45","rents",23,"8574129630"
25,"79068249153","Васнецов Александр Владимирович","Самара, Проспект Мира, 108, кв. 27","rents",19,"7068249153"
23,"79726138045","Кузнецов Дмитрий Игоревич","Казань, Переулок Зеленый, 45, кв. 8","reserves",22,"9726138045"
29,"79941875603","Зайцев Илья Денисович","Иркутск, Улица Лесная, 50, кв. 23","reserves",10,"2941875603"
38,"79743052196","Лебедев Владимир Андреевич","Курган, Улица Звездная, 29, кв. 11","left",6,"8743052196"
21,"79247965308","Федоров Артем Валентинович","Краснодар, Улица Цветочная, 17, кв. 3","rents",6,"1247965308"
26,"79892476503","Карпова Екатерина Андреевна","Челябинск, Улица Радуга, 33, кв. 14","reserves",8,"1892476503"
19,"79315784920","Козлов Анатолий Викторович","Екатеринбург, Переулок Солнечный, 89, кв. 21","rents",18,"6315784920"
39,"79210947853","Гончарова Екатерина Сергеевна","Уфа, Переулок Мирный, 78, кв. 6","left",9,"6210947853"
53,"79123460975","Лебедева Надежда Алексеевна","Курск, Улица Заречная, 112, кв. 34","left",22,"8123460975"
33,"79824576130","Кудрявцев Артем Станиславович","Калининград, Переулок Весенний, 123, кв. 15","rents",25,"9824576130"
57,"79092847613","Павлов Владислав Михайлович","Смоленск, Проспект Вечерний, 75, кв. 22","left",19,"5092847613"
24,"79451892076","Соколова Мария Петровна","Ростов-на-Дону, Улица Сиреневая, 91, кв. 19","rents",11,"3451892076"
48,"79785093412","Григорьев Павел Станиславович","Киров, Проспект Парковый, 94, кв. 7","left",19,"6785093412"
56,"79371584209","Зайцев Игорь Денисович","Владикавказ, Улица Горная, 60, кв. 26","left",9,"6371584209"
46,"79498752036","Новиков Сергей Алексеевич","Якутск, Переулок Майский, 52, кв. 14","left",12,"1498752036"
47,"79251987460","Михайлова Ангелина Артемовна","Барнаул, Улица Луговая, 36, кв. 23","left",23,"3251987460"
49,"79302679815","Андреева Виктория Анатольевна","Липецк, Переулок Цветочный, 20, кв. 15","left",22,"4302679815"
45,"79029385146","Ковалева Александра Ивановна","Ижевск, Проспект Солнечный, 77, кв. 19","left",7,"7029385146"
42,"79823096715","Макаров Иван Петрович","Хабаровск, Проспект Амурский, 41, кв. 13","left",41,"4823096715"
18,"79098347651","Петрова Елена Сергеевна","Санкт-Петербург, Улица Гагарина, 56, кв. 7","reserves",9,"2098347651"
40,"79096328174","Кузнецов Алексей Игоревич","Воронеж, Проспект Горького, 155, кв. 25","left",29,"5096328174"
31,"79389562104","Шевченко Владимир Валерьевич","Сочи, Проспект Заря, 67, кв. 31","rents",21,"7389562104"
30,"79152048793","Павлова Анастасия Викторовна","Томск, Переулок Речной, 14, кв. 9","rents",17,"6152048793"
50,"79650128374","Козлов Никита Валентинович","Ульяновск, Улица Зеленая, 83, кв. 10","left",16,"9650128374"
51,"79874305296","Иванова Елена Владимировна","Тамбов, Проспект Розовый, 49, кв. 21","left",13,"1874305296"
20,"79682951730","Смирнова Наталья Дмитриевна","Новосибирск, Проспект Победы, 234, кв. 12","rents",14,"4682951730"
32,"79061293785","Тимофеева Елена Игоревна","Нижний Новгород, Улица Жемчужная, 99, кв. 4","rents",13,"4061293785"
44,"79610472359","Петров Дмитрий Николаевич","Тверь, Улица Веселая, 108, кв. 8","left",15,"8610472359"
54,"79967501824","Смирнов Аркадий Васильевич","Белгород, Проспект Летний, 88, кв. 27","left",21,"3967501824"
36,"79950713842","Григорьева Татьяна Николаевна","Саратов, Переулок Луговой, 37, кв. 22","rents",19,"6950713842"
27,"79250361947","Никитин Сергей Васильевич","Омск, Переулок Тихий, 76, кв. 5","rents",22,"8250361947"
52,"79748293016","Тимофеев Артур Сергеевич","Сургут, Переулок Трактовый, 70, кв. 5","left",11,"5748293016"
41,"79361589240","Шевченко Ольга Дмитриевна","Пермь, Улица Красная, 92, кв. 20","left",37,"7361589240"
55,"79401987536","Карпова Алина Викторовна","Оренбург, Переулок Овражный, 45, кв. 9","left",25,"2401987536"
43,"79932184076","Соколов Анна Васильевна","Набережные Челны, Переулок Лесной, 63, кв. 17","left",10,"5932184076"
